,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
366,taylor,30.572585,-97.142464,60.01,57,2,1.99
367,ahmadpur,23.813762,87.751674,55.4,82,0,2.3
368,egvekinot,63.113874,-179.518984,4.5,94,100,16.42
369,aklavik,75.585441,-141.991302,-22.18,88,99,6.82
370,natal,-2.599561,-27.748094,79.41,78,10,10.51
371,ca mau,9.0652,104.68977,79.12,72,63,8.32
372,bandar-e lengeh,26.218193,55.45523,72.37,68,0,10.33
373,lorengau,-0.378058,146.582284,84.06,74,100,10.38
374,marcona,-20.281539,-80.442763,67.57,72,100,16.24
375,korla,41.755776,85.506759,25.63,78,49,4.68
376,clyde river,69.427151,-68.438727,-18.74,85,97,4.36
377,dawlatabad,35.837711,65.171399,33.96,61,20,7.94
378,kikwit,-5.753893,19.565518,69.58,87,72,1.99
379,kongolo,-5.112062,26.495814,69.55,85,79,2.51
380,isetskoye,56.289716,65.472398,24.35,99,95,5.3
381,msanga,-6.042722,36.056028,62.91,91,1,2.37
382,salaya,22.468831,69.359976,68.95,53,0,16.4
383,ixtapa,15.5972,-102.413612,80.2,70,0,12.44
384,pitimbu,-7.714008,-31.559916,80.08,77,98,13.98
385,katha,23.806323,95.847923,63.88,51,0,3.87
386,hunza,35.933846,75.033562,-25.69,78,0,4.59
387,burica,7.665036,-83.213993,83.44,75,14,8.72
388,gaoua,10.065058,-3.749935,77.23,18,97,3.27
389,cruzeiro do sul,-7.277757,-72.642765,74.57,96,100,1.83
390,norman wells,71.778266,-125.778565,-26.36,81,100,4.9
391,skalistyy,73.02907,34.514767,26.98,88,100,13.18
392,swan hill,-34.300453,143.33956,69.84,51,93,7.2
393,sochaczew,52.344033,20.11595,25.0,93,20,4.61
394,cortez,37.847337,-108.525736,25.0,69,0,1.01
395,ust-koksa,49.863225,85.750856,13.78,96,100,4.34
396,zdvinsk,54.537613,78.417204,6.1,92,100,5.3
397,saleaula,2.424351,-167.243514,78.03,80,29,12.73
398,meyungs,15.362204,133.004074,81.7,77,49,16.71
399,anar darreh,32.602854,61.178768,41.59,60,0,3.44
400,challans,45.787836,-3.181364,50.0,82,100,1.99
401,gavle,60.816649,17.601002,19.0,82,100,8.01
402,san pedro,18.377437,-86.483623,76.03,62,0,14.5
403,chern,53.742219,36.944209,17.92,97,100,19.26
404,esperance,-36.67043,121.329182,58.86,77,99,20.83
405,deputatskiy,72.787968,142.217345,-10.61,88,78,23.64
406,majene,-3.820129,117.421289,81.5,80,100,11.59
407,vostok,49.931389,147.671472,-6.92,86,92,11.36
408,adrar,28.586252,0.044457,66.74,23,0,14.14
409,hami,42.796982,94.789414,19.38,82,10,10.45
410,viligili,-0.290649,76.730115,82.45,77,100,10.45
411,grand forks,48.015694,-96.112687,3.99,85,90,26.46
412,japura,-1.246184,-70.241307,71.69,99,100,0.43
413,portland,-51.371716,135.240133,46.44,66,100,9.64
414,kargasok,60.385827,80.63803,-8.79,91,100,4.47
415,shingu,24.59107,139.156267,66.51,67,0,19.01
416,samalaeulu,-7.733014,-168.995362,82.49,75,66,16.28
